File name	Line	Function	Duration[ms]	Explored nodes
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Commands\CitaCommand\CitaCommandExample.cs	10	_Agenda.API.Application.Commands.CitaCommand.RequestCrearCitaCommandExample.GetExamples$$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Commands\CitaCommand\CitaCommandExample.cs	58	_Agenda.API.Application.Commands.CitaCommand.ResponseCrearCitaCommandExample.GetExamples$$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Commands\CitaCommand\CitaCommandExample.cs	83	_Agenda.API.Application.Commands.CitaCommand.RequestActualizarCitaCommandExample.GetExamples$$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Commands\CitaCommand\CitaCommandExample.cs	105	_Agenda.API.Application.Commands.CitaCommand.ResponseActualizarCitaCommandExample.GetExamples$$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Commands\CitaCommand\CitaCommandExample.cs	130	_Agenda.API.Application.Commands.CitaCommand.RequestCalificarCitaCommandExample.GetExamples$$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Commands\CitaCommand\CitaCommandExample.cs	152	_Agenda.API.Application.Commands.CitaCommand.ResponseCalificarCitaCommandExample.GetExamples$$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Queries\Cita\CitaQueriesExample.cs	11	_Agenda.API.Application.Queries.Cita.ResponseObtenerNumeroCitaQueryExample.GetExamples$$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Infrastructure\AutofacModules\CommandsModule.cs	9	_Agenda.API.Infrastructure.AutofacModules.CommandsModule.Load$Autofac.ContainerBuilder$	0	3
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Comun\ConfigurationHelper.cs	49	_Agenda.API.Application.Comun.ConfigurationHelper.ObtenerMensajeRespuestaServicio$string.refstring.refobject$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Comun\ConfigurationHelper.cs	54	_Agenda.API.Application.Comun.ConfigurationHelper.ObtenerCodigoRespuestaServicio$string.string$	575	647
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Extensions\HeaderConfigurationExtension.cs	7	_Agenda.API.Extensions.HeaderConfigurationExtension.UseHeaderConfiguration$Microsoft.AspNetCore.Builder.IApplicationBuilder$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Comun\ImpresionLog.cs	12	_Agenda.API.Application.Comun.ImpresionLog.InicioMetodo$string.string.string.string$	0	3
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Comun\ImpresionLog.cs	20	_Agenda.API.Application.Comun.ImpresionLog.FinMetodo$string.string.string.string.string$	0	3
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Comun\ImpresionLog.cs	28	_Agenda.API.Application.Comun.ImpresionLog.DatosInicioMetodo$string.string.string.object$	0	3
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Comun\ImpresionLog.cs	36	_Agenda.API.Application.Comun.ImpresionLog.DatosFinMetodo$string.string.string.object$	0	3
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Program.cs	9	_Agenda.API.Program.Main$string$$$	0	3
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Program.cs	23	_Agenda.API.Program.GetConfiguration$$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Commands\ProspectoCommand\ProspectoCommandExample.cs	10	_Agenda.API.Application.Commands.ProspectoCommand.RequestCrearProspectoCommandExample.GetExamples$$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Commands\ProspectoCommand\ProspectoCommandExample.cs	59	_Agenda.API.Application.Commands.ProspectoCommand.ResponseCrearProspectoCommandExample.GetExamples$$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Commands\ProspectoCommand\ProspectoCommandExample.cs	84	_Agenda.API.Application.Commands.ProspectoCommand.RequestActualizarProspectoCommandExample.GetExamples$$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Commands\ProspectoCommand\ProspectoCommandExample.cs	145	_Agenda.API.Application.Commands.ProspectoCommand.ResponseActualizarProspectoCommandExample.GetExamples$$	0	2
D:\Proyecto-Agenda-Mejoras-1\Agenda.API\Application\Commands\ProspectoCommand\ProspectoCommandExample.cs	171	_Agenda.API.Application.Commands.ProspectoCommand.RequestDescartarProspectoCommandExample.GetExamples$$	0	2
